EMPID,Team,Cluster,Qualification,Sex,Recruitment_Mode,Number of Certifications,Age,Last Year Rating,Years_Of_Exp,KPIs_Met? >80%,Performer_Award??,Avg_KPI_Score,Is_Retained?
41983,Operations,Cluster_2,Bachelor's,f,sourcing,1,33,3,5,0,0,57,0
21440,Sales & Marketing,Cluster_31,Bachelor's,m,other,1,41,3,12,1,0,52,0
51256,Finance,Cluster_2,Master's & above,m,other,1,60,5,17,0,0,59,0
66635,Operations,Cluster_15,Bachelor's,m,other,1,31,5,4,1,0,63,1
16027,Operations,Cluster_26,Bachelor's,f,other,1,37,3,11,0,0,57,0
46020,Analytics,Cluster_7,Bachelor's,m,sourcing,2,39,3,4,1,0,83,0
28509,Sales & Marketing,Cluster_7,Bachelor's,m,other,1,40,5,8,1,0,54,0
33587,Sales & Marketing,Cluster_28,Master's & above,m,sourcing,1,42,5,4,0,0,50,0
21387,Operations,Cluster_13,Bachelor's,m,other,1,35,4,6,1,0,57,1
55927,Operations,Cluster_13,Master's & above,f,sourcing,1,41,4,6,1,0,62,0
60763,Procurement,Cluster_2,Bachelor's,f,other,1,23,3,2,0,0,73,0
53167,Sales & Marketing,Cluster_16,Bachelor's,m,sourcing,2,31,3,4,0,0,50,0
32672,Analytics,Cluster_22,Master's & above,m,other,1,42,2,19,0,0,79,0
48785,Sales & Marketing,Cluster_22,Bachelor's,m,other,3,29,4,2,0,0,49,0
51444,HR,Cluster_13,Bachelor's,f,other,1,30,,1,1,0,54,0
75778,Operations,Cluster_2,Bachelor's,m,sourcing,1,41,4,6,1,0,63,0
14141,Sales & Marketing,Cluster_7,Bachelor's,f,other,1,40,3,2,1,0,90,1
17894,Sales & Marketing,Cluster_2,Bachelor's,m,referred,1,34,5,5,0,0,49,0
54380,Sales & Marketing,Cluster_4,Bachelor's,f,other,1,31,4,2,0,0,46,0
51892,Technology,Cluster_2,Bachelor's,m,other,1,27,5,2,0,0,86,1
3625,Procurement,Cluster_21,Bachelor's,m,sourcing,4,30,3,2,0,0,72,0
38771,Procurement,Cluster_23,Bachelor's,f,other,1,27,4,4,1,0,72,1
18959,Technology,Cluster_15,Bachelor's,m,other,4,36,4,7,0,0,82,0
21137,Technology,Cluster_2,Bachelor's,m,sourcing,1,35,4,6,0,0,77,0
26097,Sales & Marketing,Cluster_25,Master's & above,m,other,1,34,5,7,1,0,51,1
38052,Procurement,Cluster_34,Master's & above,m,sourcing,1,37,5,3,0,1,92,1
41746,Operations,Cluster_22,Bachelor's,f,sourcing,1,27,,1,1,0,58,0
72744,Procurement,Cluster_2,Master's & above,m,sourcing,2,47,3,5,1,0,71,0
5461,Analytics,Cluster_8,Bachelor's,m,other,1,28,,1,1,0,83,0
15227,Procurement,Cluster_27,Master's & above,f,other,1,40,5,5,0,0,68,0
66874,Sales & Marketing,Cluster_27,Bachelor's,f,other,1,30,,1,0,0,50,0
42068,Operations,Cluster_1,Master's & above,m,other,1,38,5,9,1,0,61,0
54825,Sales & Marketing,Cluster_25,Bachelor's,m,other,1,30,3,2,0,0,47,0
77709,Sales & Marketing,Cluster_11,Bachelor's,f,sourcing,1,28,5,3,0,0,46,0
43712,Procurement,Cluster_22,Bachelor's,m,sourcing,2,28,5,4,1,0,67,0
74783,Operations,Cluster_29,Bachelor's,m,sourcing,1,35,4,7,0,0,58,0
19318,Analytics,Cluster_22,Bachelor's,m,other,1,32,3,8,0,0,89,1
12096,Sales & Marketing,Cluster_26,Master's & above,m,sourcing,1,36,5,8,0,0,50,0
5102,Operations,Cluster_7,Bachelor's,m,sourcing,1,24,,1,1,0,56,0
29521,Technology,Cluster_15,Bachelor's,m,other,1,27,3,4,1,0,78,0
36371,Finance,Cluster_28,Master's & above,m,other,2,34,3,7,0,0,56,0
51164,Technology,Cluster_14,Bachelor's,f,other,1,31,4,4,1,1,78,0
17812,Technology,Cluster_27,Bachelor's,f,sourcing,1,30,4,2,0,0,77,0
7606,Technology,Cluster_29,Bachelor's,f,other,2,30,3,7,1,1,76,0
50593,Finance,Cluster_23,Bachelor's,m,sourcing,1,31,,1,1,0,56,0
73735,Analytics,Cluster_25,Bachelor's,m,other,1,30,5,3,1,0,84,0
29313,Finance,Cluster_22,Bachelor's,m,sourcing,1,28,3,2,0,0,57,0
40262,Technology,Cluster_2,Bachelor's,m,other,2,28,3,5,0,0,81,0
36904,Sales & Marketing,Cluster_15,Bachelor's,m,other,1,29,3,2,0,0,51,0
62552,Sales & Marketing,Cluster_22,Master's & above,m,sourcing,1,46,3,11,1,0,51,0
63285,Technology,Cluster_29,Bachelor's,m,sourcing,1,31,5,4,1,0,80,0
74203,Procurement,Cluster_5,Bachelor's,m,sourcing,1,28,1,4,0,0,72,0
75344,Sales & Marketing,Cluster_4,Master's & above,m,other,1,31,4,6,0,0,50,0
74018,HR,Cluster_7,Master's & above,f,other,1,37,3,9,0,0,48,0
34985,Technology,Cluster_5,Bachelor's,f,other,2,34,5,8,0,0,88,1
35930,Procurement,Cluster_2,Bachelor's,m,sourcing,1,25,5,3,1,0,70,1
6708,Operations,Cluster_22,Master's & above,m,sourcing,1,40,4,4,1,0,57,0
5515,Operations,Cluster_13,Master's & above,m,other,1,43,3,7,1,0,56,1
53373,Operations,Cluster_13,Bachelor's,m,other,1,36,1,5,0,0,56,0
69316,Legal,Cluster_29,Bachelor's,m,sourcing,1,29,3,3,0,0,63,0
41009,Finance,Cluster_13,Bachelor's,m,sourcing,2,35,3,2,0,0,56,0
50622,Analytics,Cluster_25,Master's & above,m,other,1,34,5,2,0,0,84,0
30106,Sales & Marketing,Cluster_16,Bachelor's,f,sourcing,1,32,4,4,1,0,45,0
45157,HR,Cluster_4,Bachelor's,m,other,1,27,,1,1,0,50,0
23523,Technology,Cluster_26,Bachelor's,m,sourcing,1,29,3,5,0,0,75,0
74349,Sales & Marketing,Cluster_5,Bachelor's,m,sourcing,1,34,1,4,0,0,48,0
70543,Procurement,Cluster_2,Master's & above,m,sourcing,1,37,5,7,1,0,70,0
42245,Procurement,Cluster_22,Bachelor's,f,other,1,33,3,3,1,0,73,0
34405,Procurement,Cluster_2,Master's & above,f,other,1,33,5,4,1,0,67,0
4134,Sales & Marketing,Cluster_16,Bachelor's,f,other,1,39,1,8,0,0,45,0
23599,Technology,Cluster_23,Master's & above,m,other,1,34,4,7,0,0,82,0
942,Technology,Cluster_22,Bachelor's,m,other,2,32,4,6,0,0,84,0
5281,Sales & Marketing,Cluster_7,Master's & above,m,other,1,34,4,6,0,0,53,0
197,Finance,Cluster_12,Bachelor's,m,other,1,29,5,6,1,0,61,0
37574,Sales & Marketing,Cluster_2,Bachelor's,m,sourcing,2,28,1,2,0,0,50,0
26773,Technology,Cluster_7,Bachelor's,f,other,1,28,2,5,0,0,75,0
70034,Procurement,Cluster_2,Master's & above,f,other,2,35,3,9,0,0,70,0
40565,Technology,Cluster_2,Bachelor's,f,other,2,40,3,3,0,0,86,0
17193,Sales & Marketing,Cluster_2,Bachelor's,f,other,2,27,2,4,0,0,54,0
76550,Procurement,Cluster_22,Bachelor's,f,other,3,26,3,3,1,0,70,0
53841,Operations,Cluster_2,Bachelor's,m,sourcing,1,43,2,12,0,0,57,0
28314,Finance,Cluster_26,Bachelor's,m,other,1,23,,1,0,0,61,0
30196,Analytics,Cluster_25,Bachelor's,m,sourcing,1,29,5,6,1,0,84,0
29757,Sales & Marketing,Cluster_14,Bachelor's,m,sourcing,1,43,3,15,0,0,51,0
6073,Sales & Marketing,Cluster_2,Bachelor's,m,sourcing,3,27,4,4,0,0,49,0
9863,Procurement,Cluster_27,Bachelor's,m,sourcing,1,26,4,4,1,0,70,0
34306,Procurement,Cluster_13,Bachelor's,f,other,1,31,5,5,1,0,72,0
34041,Operations,Cluster_7,Bachelor's,m,other,1,40,4,11,0,0,58,0
21356,Operations,Cluster_15,Bachelor's,f,other,2,39,5,12,1,0,55,0
29540,Operations,Cluster_2,Bachelor's,f,other,2,30,3,6,0,0,57,0
51669,Technology,Cluster_2,Master's & above,m,other,1,47,4,4,1,0,77,0
33825,Sales & Marketing,Cluster_17,Bachelor's,m,other,1,34,4,7,1,0,48,1
6254,Operations,Cluster_2,,f,other,1,33,4,9,0,0,64,0
11645,Sales & Marketing,Cluster_23,Master's & above,m,other,1,41,5,7,0,0,51,0
3231,Technology,Cluster_7,Bachelor's,m,other,1,29,1,4,0,0,80,0
7030,Analytics,Cluster_31,Bachelor's,f,other,1,32,3,4,0,0,86,0
54198,Procurement,Cluster_7,Master's & above,f,other,1,47,5,9,0,0,68,0
62293,Operations,Cluster_27,Bachelor's,m,other,1,35,4,3,0,0,65,0
25312,Technology,Cluster_22,Bachelor's,m,other,1,27,4,2,0,0,75,0
75610,Analytics,Cluster_32,Bachelor's,m,other,1,29,1,3,0,0,81,0
16518,Sales & Marketing,Cluster_20,Bachelor's,m,sourcing,2,36,3,9,0,0,49,0
42747,Sales & Marketing,Cluster_15,Bachelor's,m,other,2,35,1,8,0,0,39,0
67980,Procurement,Cluster_2,Bachelor's,f,sourcing,2,34,3,2,0,0,70,0
53630,Sales & Marketing,Cluster_23,Master's & above,f,sourcing,1,34,4,5,1,1,94,1
72423,Operations,Cluster_2,Master's & above,m,sourcing,1,39,3,2,1,0,60,0
73022,Sales & Marketing,Cluster_25,Bachelor's,m,other,1,26,5,2,1,0,51,0
63976,Operations,Cluster_31,Bachelor's,f,sourcing,1,30,5,4,0,0,56,0
60761,Operations,Cluster_16,,f,other,1,31,4,2,0,0,62,0
57228,HR,Cluster_2,Master's & above,m,sourcing,1,44,5,6,0,0,48,0
14912,Sales & Marketing,Cluster_1,Bachelor's,m,other,1,38,3,4,1,0,49,0
22725,Technology,Cluster_26,Bachelor's,m,other,1,40,1,3,0,0,78,0
18981,Legal,Cluster_2,Master's & above,m,sourcing,1,50,5,6,0,1,58,0
50845,Procurement,Cluster_19,Master's & above,m,other,1,44,3,12,0,0,70,0
11800,Procurement,Cluster_2,Below Secondary,f,other,1,23,1,2,0,0,69,0
16351,Sales & Marketing,Cluster_7,Master's & above,f,sourcing,1,36,1,2,0,0,53,0
75881,Analytics,Cluster_27,Bachelor's,m,sourcing,1,25,1,4,0,0,80,0
73200,Operations,Cluster_28,Bachelor's,m,sourcing,1,34,5,4,1,0,58,0
17833,Analytics,Cluster_4,Bachelor's,m,sourcing,1,28,,1,0,0,85,0
58338,Analytics,Cluster_1,Bachelor's,m,other,2,30,5,6,1,0,81,0
40187,Procurement,Cluster_12,Bachelor's,m,sourcing,1,35,1,8,0,0,67,0
70193,Analytics,Cluster_6,Bachelor's,m,sourcing,1,33,4,8,0,0,86,0
27188,Analytics,Cluster_13,Master's & above,m,other,1,30,3,4,1,0,80,0
24291,Analytics,Cluster_26,Bachelor's,m,other,2,27,5,3,1,0,85,0
43676,Procurement,Cluster_2,Bachelor's,m,other,4,29,,1,0,0,68,0
52231,Operations,Cluster_2,Bachelor's,m,sourcing,1,43,3,3,0,0,58,0
34241,Analytics,Cluster_22,Bachelor's,m,other,2,28,3,5,1,0,86,0
76661,Procurement,Cluster_17,Bachelor's,m,other,1,31,5,3,1,0,68,0
50595,Operations,Cluster_2,Bachelor's,f,other,1,43,4,12,0,0,58,0
67673,Operations,Cluster_4,Bachelor's,f,other,1,35,5,9,1,0,60,0
10547,Sales & Marketing,Cluster_5,Bachelor's,m,other,2,35,3,9,0,0,49,0
73405,Operations,Cluster_2,Master's & above,m,other,1,50,3,8,1,0,59,0
73114,HR,Cluster_17,Bachelor's,f,other,1,26,4,3,0,0,50,0
22572,Sales & Marketing,Cluster_27,Bachelor's,m,sourcing,1,32,3,5,1,0,52,0
62923,Operations,Cluster_13,Master's & above,f,other,1,38,5,2,1,1,93,1
57235,Sales & Marketing,Cluster_26,,m,other,1,22,4,2,0,0,51,0
22300,HR,Cluster_20,Bachelor's,m,other,1,28,,1,1,0,52,0
24090,Procurement,Cluster_14,Bachelor's,f,sourcing,1,37,3,9,0,0,69,0
57298,Analytics,Cluster_2,Bachelor's,m,sourcing,2,54,3,9,1,0,86,0
25629,Sales & Marketing,Cluster_11,Bachelor's,m,sourcing,1,36,3,8,0,0,51,0
71339,Technology,Cluster_6,Bachelor's,m,other,1,35,3,8,0,0,78,0
54714,Analytics,Cluster_29,Bachelor's,m,other,1,39,3,4,1,0,85,0
7390,Operations,Cluster_12,Bachelor's,f,sourcing,1,31,5,4,1,0,63,0
9563,Operations,Cluster_31,Bachelor's,m,other,2,38,3,7,1,1,60,0
39107,Sales & Marketing,Cluster_22,Bachelor's,m,sourcing,1,28,1,2,0,0,48,0
19445,Sales & Marketing,Cluster_7,Bachelor's,m,sourcing,3,26,2,3,0,0,52,0
42636,Sales & Marketing,Cluster_26,Bachelor's,m,sourcing,1,29,,1,0,0,54,0
32557,Analytics,Cluster_20,Bachelor's,m,sourcing,1,30,3,4,0,0,84,0
43396,Operations,Cluster_22,Bachelor's,m,sourcing,2,37,2,4,1,0,57,1
24414,R&D,Cluster_2,,m,other,1,25,,1,1,0,76,0
63237,Technology,Cluster_22,Bachelor's,m,referred,1,26,4,2,0,0,82,0
32838,Technology,Cluster_7,Bachelor's,m,other,1,31,4,4,0,0,78,0
23003,Technology,Cluster_14,Bachelor's,f,other,1,38,5,7,1,0,82,0
45198,Sales & Marketing,Cluster_13,Bachelor's,m,other,1,39,4,9,0,0,49,0
40376,Sales & Marketing,Cluster_4,Bachelor's,m,other,1,30,5,4,0,1,50,0
60176,Procurement,Cluster_15,Master's & above,f,other,1,34,5,8,1,0,67,0
67652,Procurement,Cluster_23,Master's & above,f,other,1,33,3,5,1,0,72,0
15476,Technology,Cluster_2,Bachelor's,f,other,1,29,5,3,1,0,78,0
55811,Operations,Cluster_2,Bachelor's,m,sourcing,1,28,4,2,1,0,61,0
15737,Finance,Cluster_22,Bachelor's,m,sourcing,1,24,,1,0,0,56,0
10058,Analytics,Cluster_22,Bachelor's,m,other,2,26,4,2,1,0,87,0
73435,Legal,Cluster_22,Bachelor's,m,sourcing,1,34,5,4,0,0,64,0
51255,Sales & Marketing,Cluster_27,Bachelor's,m,sourcing,1,35,3,7,0,0,46,0
70060,Technology,Cluster_13,Master's & above,m,other,1,43,3,14,0,0,79,0
51473,Sales & Marketing,Cluster_15,Bachelor's,m,other,1,34,1,8,0,0,39,0
71904,Technology,Cluster_7,Master's & above,f,other,2,38,3,10,0,0,88,0
76080,Operations,Cluster_7,Bachelor's,f,other,1,34,1,5,0,0,54,0
33357,Operations,Cluster_22,Bachelor's,m,sourcing,1,41,4,4,0,0,63,0
53502,Finance,Cluster_7,Bachelor's,m,sourcing,2,29,1,4,0,0,61,0
26409,Operations,Cluster_2,Bachelor's,m,other,1,33,4,3,0,0,61,0
59608,Sales & Marketing,Cluster_2,Master's & above,f,other,1,41,4,5,1,0,48,0
28687,Operations,Cluster_2,Master's & above,m,other,3,38,3,11,0,0,57,0
34312,Procurement,Cluster_2,Master's & above,f,other,2,54,4,23,0,0,66,0
11438,Sales & Marketing,Cluster_13,Master's & above,f,sourcing,2,34,2,8,0,0,49,0
11794,R&D,Cluster_2,Bachelor's,m,other,2,26,5,3,1,0,87,0
48756,Operations,Cluster_7,Bachelor's,f,sourcing,1,35,5,3,0,0,59,0
35873,Legal,Cluster_2,Below Secondary,m,other,1,28,,1,0,0,62,0
13970,Operations,Cluster_33,Master's & above,m,other,1,36,3,4,0,0,60,0
49868,Technology,Cluster_5,Bachelor's,m,other,1,45,3,15,0,0,87,0
25261,Procurement,Cluster_7,Master's & above,m,other,1,38,4,7,0,0,66,0
44536,Sales & Marketing,Cluster_27,Bachelor's,f,other,1,26,2,4,0,0,47,0
55550,Analytics,Cluster_27,,m,sourcing,1,31,3,4,0,0,85,0
27989,Analytics,Cluster_34,Bachelor's,m,sourcing,1,32,3,7,0,0,87,0
12598,Analytics,Cluster_6,Bachelor's,m,sourcing,1,29,4,4,0,0,78,0
32877,Sales & Marketing,Cluster_2,Bachelor's,f,other,1,40,3,12,0,0,50,0
30682,Technology,Cluster_2,Bachelor's,m,referred,2,29,4,6,0,0,75,0
1829,Analytics,Cluster_28,Bachelor's,m,other,2,31,5,7,1,0,87,0
2177,Finance,Cluster_16,Bachelor's,m,other,1,32,5,6,1,0,58,0
51771,Operations,Cluster_17,Bachelor's,m,other,1,42,5,11,0,0,67,0
26026,Procurement,Cluster_15,Bachelor's,f,sourcing,1,30,5,3,1,0,65,0
64977,Procurement,Cluster_16,Bachelor's,f,other,1,24,3,2,1,0,70,0
44585,Sales & Marketing,Cluster_30,Bachelor's,m,sourcing,1,35,3,7,0,0,56,0
43562,Technology,Cluster_5,Bachelor's,f,sourcing,2,32,1,3,0,0,80,0
56287,HR,Cluster_2,Bachelor's,f,sourcing,1,22,3,2,0,0,47,0
19100,Sales & Marketing,Cluster_2,Bachelor's,m,sourcing,2,44,5,14,0,0,48,0
58203,Operations,Cluster_16,Bachelor's,m,other,2,39,3,9,0,0,58,0
12504,Technology,Cluster_7,Bachelor's,f,other,1,46,4,17,0,0,85,0
49126,Technology,Cluster_15,Bachelor's,m,other,1,29,2,5,0,0,77,0
66469,Finance,Cluster_7,Bachelor's,m,other,1,26,1,3,0,0,59,0
53350,Operations,Cluster_23,Bachelor's,m,other,1,35,4,5,0,0,61,0
22031,Procurement,Cluster_2,Bachelor's,f,other,1,29,4,2,1,0,95,1
36185,Technology,Cluster_13,Bachelor's,m,sourcing,1,30,2,9,0,0,79,0
58415,Sales & Marketing,Cluster_7,Bachelor's,m,other,1,45,4,5,0,0,50,0
71763,Sales & Marketing,Cluster_15,Bachelor's,f,other,1,30,1,6,0,0,47,0
62742,Finance,Cluster_32,Bachelor's,m,sourcing,1,28,2,4,0,0,59,0
33619,Technology,Cluster_2,Master's & above,m,sourcing,1,46,5,10,1,0,76,0
41212,Procurement,Cluster_7,Bachelor's,m,sourcing,1,27,2,2,0,0,69,0
40204,Sales & Marketing,Cluster_11,Bachelor's,m,sourcing,1,34,2,5,0,0,47,0
59131,Analytics,Cluster_19,Bachelor's,m,sourcing,2,32,5,3,1,0,86,0
12559,Operations,Cluster_22,Bachelor's,f,other,1,35,5,10,0,0,63,0
30433,Procurement,Cluster_27,Bachelor's,m,other,1,36,4,3,1,0,66,0
13150,Procurement,Cluster_2,Master's & above,f,other,1,58,1,13,0,0,70,0
9616,Finance,Cluster_31,Bachelor's,m,other,1,29,4,4,0,0,57,0
26563,Procurement,Cluster_2,Bachelor's,f,referred,1,33,3,3,1,0,67,0
38331,Operations,Cluster_16,Bachelor's,f,other,1,32,5,6,0,0,62,0
18651,Legal,Cluster_22,Below Secondary,m,other,1,25,5,2,1,0,59,0
45004,Procurement,Cluster_13,Bachelor's,m,other,4,41,2,9,0,0,68,0
11892,Procurement,Cluster_12,Bachelor's,f,other,1,25,,1,1,0,69,0
16859,Analytics,Cluster_2,Master's & above,m,other,1,50,1,7,0,1,79,0
26107,Sales & Marketing,Cluster_26,Bachelor's,m,other,1,30,1,7,0,0,53,0
22511,Technology,Cluster_24,Bachelor's,m,sourcing,1,28,,1,0,0,81,0
22865,Analytics,Cluster_20,Master's & above,m,other,1,40,5,5,0,1,83,1
